"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Costa Rica","CRI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","2200","2400","2500","2400","3600","3400","3300","3500","5000","4100","8100","10560","12550","12360","15554","16174","14201","15401","22655","20785","16453","16051","12625","11187","16575","20489","23057","17240","17069","17440","18943","18018","18254","19507","21044","24197","31321","33696","32557","37353","44871","44536","50937","50102","44708","45527","39157","45516","48464","44568.3","44755","41641.5","42332","48910","41511.5","37252.5","37171","","","",
"Caribbean small states","CSS","Total fisheries production (metric tons)","ER.FSH.PROD.MT","31823","38713","38563","36463","38023","41573","45093","46373","47763","50563","53532","52182","56852","59650","63999","65490","61411","75415","76607","72800","69658","69328.789","69709.039","77034.154","79237.066","83675.82","80005.899","85598.03","96946.67","96159.611","102806.181","109532.54","114590.53","118635.94","139410.02","136531.48","140146.14","161627.59","198628.68","212392","181485","210481","281223","245729","308385.5","301865.5","397419.743","508896.99","552357.13","502396.67","636301.24","526558.15","360579.81","246035.6","359660.8","362758.83","323107.84","","","",
"Cuba","CUB","Total fisheries production (metric tons)","ER.FSH.PROD.MT","31200","30600","35000","35612","37165","41080","43826","65975","66250","78919","104500","127110","139711","150387","164629","144053","194490","184759","213176","153701","186450","164834","195296","198494","199858.3","219862.9","244558.3","214773.6","231091.1","191882.9","188067.8","171061.6","111943.8","97708.3","93974.4","102342.2","120560.8","113168.5","98341.1","100811.1","101266","80277","59630","60985","59756","50869","54797","67011","65399","64894","55418","48703.8","48499.2","51680.7","56338.6","57690","52759","","","",
"Curacao","CUW","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22074","24994","26139","28494","30159","35534","","","",
"Cayman Islands","CYM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","1391","3992","933","655","423","396","478","1097","386","615","837","586","825","445","125","125","110","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","125","","","",
"Cyprus","CYP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","500","400","600","600","600","1006","1009","1014","1412","1409","1363","1255","1340","1459","1221","950","1083","1220","1276","1314","1339","1462","1591","1988.771","2266","2438","2598.388","2593","2564","2626","2709","3048","9491","10275","9718","9772","13313","25788","20482","41060","70223","56606","142941","49561","81169","63749","32727","4896","4883","4824.5","5510.8","5854.98","5656.71","6525.1","6114.1","6953.56","8131.96","","","",
"Czech Republic","CZE","Total fisheries production (metric tons)","ER.FSH.PROD.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23427","22610","22608","21724","20881","21183","22965","24129","24744","24193","24797","23912","24697","25077","24723","24559","24183","24410","24869","24796","23118.4","23947","24041","24459","","","",
"Germany","DEU","Total fisheries production (metric tons)","ER.FSH.PROD.MT","787910","748670","782420","837580","850030","864690","881650","951500","986660","970714","939498","846312","761507","850953","897600","828055","744507","655548","625086","590774","562566","585026","551637","544751","553756","426457","415388","399721","393112","412656","390739","310593","313544","322510","279013","303985","319648","324785","339107","317421","269975","262551","271624","331927","315576","326053","328416","335505","318258","282954","283840","273024","240768","260396","268775","291653","312906","","","",
"Djibouti","DJI","Total fisheries production (metric tons)","ER.FSH.PROD.MT","900","800","900","1000","300","300","300","300","300","300","300","300","100","200","380","300","230","230","230","231","251","385","426","409","409","380","409","426","454","399","360","252","275","300","320","350","400","500","600","700","800","900","1000","1100","1200","1571","1299","1229","1206","1058","1590","1667","2167","1702","2298","2012","2220","","","",
"Dominica","DMA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","500","500","600","600","600","500","500","500","600","600","500","600","700","800","900","1001","1024","1047","1070","642","1445","1514","1545","800","700","640","644","500","500","500","458","552","717","797","885","954","1034","1084","1217","1205","1207","1212","1211","963","718","598","718","701","723","796","711","668","631","534","736","951","776","","","",
"Denmark","DNK","Total fisheries production (metric tons)","ER.FSH.PROD.MT","574647","637492","785102","847904","871061","840830","850802","1070415","1466808","1275401","1226500","1400901","1442920","1443661","1835370","1767039","1919197","1806612","1750769","1741256","2032073","1859445","1931373","1870909","1851484","1796989","1849758","1707816","1974414","1929294","1517646","1793244","1997091","1654028","1916208","2043763","1723442","1866549","1599703","1447670","1577698","1552267","1474374","1068993","1133410","949610","904909","684221","726650","812882.4","864264","752305","537375.5","706187.2","779528.2","904916.7","706681","","","",
"Dominican Republic","DOM","Total fisheries production (metric tons)","ER.FSH.PROD.MT","1300","1600","1700","3200","4200","4100","3500","3200","4600","4800","5200","4600","5600","9200","6810","5906","7053","4594","5086","7885","10658","12003","13169","12852","13925","17202.9","17289.1","20452","12940","21884","19775","17454","13661","14204","26814","20080","13683","15212","10981","9166","13140","15864","20815","20041","16223","12173","13936","14789","16462","15463","15770","16152.9","14694.8","14673","15864.5","14078","16925","","","",
"Algeria","DZA","Total fisheries production (metric tons)","ER.FSH.PROD.MT","25500","30400","21500","16900","17300","18300","20350","21150","18250","23150","24234","23715","28313","31243","35758","37693","35122","43475","34143","38678","48000","56000","64500","65002","65595.9","66141.6","65511.8","94367.8","106741.3","99555.42","90603.24","79852","95420.91","102200","135798.9","106247.7","82317.8","91907.4","92620","102649","113510.9","134082","134800.8","141376","114050.2","126628.3","146051.8","147768.1","141642.3","129940.2","95222.74","104060.8","108265","103249.9","100239","97278.99","96361","","","",
"East Asia & Pacific (excluding high income)","EAP","Total fisheries production (metric tons)","ER.FSH.PROD.MT","5945464","6251065","6561315","6877591","7267458","7731524","8222329","8521210","9113671","9483690","9548820","10422425","11260801","11486622","11810112","12198208","12629014","14059749","14546277","14126158","14449223","15160722","16136089","17214209.59","18165000.14","19521859.4","21599247.09","23947702.31","25260877.27","26875751.19","27659960.12","29919895.96","33946992.81","38493686.75","43419844.62","48523630.06","52405269.9","53066956.93","56099772.75","59017053.99","61402941.73","63194228.66","66091629.94","69235310.62","73446479.03","76636935.94","79952275.76","83066847.68","85503621.15","89850412.59","95113346.86","99756687.76","106365952.85","113375726.93","117560117.392","121782101.775","125509270.46","","","",
